areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
1,Alabama,Parental primary language,English,0.851996005,0.100893043,0.94204843,0.823850513,0.890998423,0.885250688,0.797254264
1,Alabama,Parental primary language,Spanish,0.069889955,0.591792226,0.021309288,0.100962624,0.036555484,0.044636488,0.121594369
1,Alabama,Parental primary language,Not reported,0.047670335,0,0.031614117,0.048697621,0.037208043,0.032779232,0.064114362
1,Alabama,Parental primary language,Hindi or related,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Chinese,0,0,0,0,0,0,0
1,Alabama,Parental primary language,French,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Arabic,0.004729572,0.044106618,0.001052714,0.00592299,0,0.005602685,0.003042955
1,Alabama,Parental primary language,Filipino or Tagalog,0,0.028699979,0,0,0.004727958,0,0
1,Alabama,Parental primary language,Dravidian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,German,0,0,0.001569263,0,0,0,0
1,Alabama,Parental primary language,Sub-Saharan African,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Vietnamese,0,0,0,0.003352208,0,0,0.004705966
1,Alabama,Parental primary language,Russian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Portuguese,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Korean,0.003453524,0.037971232,0,0,0.00478952,0.004748187,0
1,Alabama,Parental primary language,Polish,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Yiddish or Jewish,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Japanese,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Hamitic,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Italian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Tibetan,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Amharic / Ethiopian or related,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Hebrew or Israeli,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Persian / Iranian / Farsi,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Micronesian or Polynesian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Dutch,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Thai / Siamese / Lao,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Other east or southeast asian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Serbo-Croatian / Yugoslavian / Slavonian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Greek,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Rumanian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Indonesian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Navajo,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Turkish,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Armenian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Albanian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Burmese / Lisu / Lolo,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Ukrainian / Ruthenian / or Little Russian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Native,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Other Balto-Slavic,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Other Persian dialects,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Magyar or Hungarian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Near east Arabic dialect,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Swedish,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Other Altaic,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Aleut or Eskimo,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Czech,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Lithuanian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Other Malayan,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Hawaiian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Norwegian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Athapascan,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Danish,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Siouan languages,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Slovak,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Celtic,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Finnish,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Zuni,0,0,0,0,0,0,0
1,Alabama,Parental primary language,African (not specified),0,0,0,0,0,0,0
1,Alabama,Parental primary language,Iroquoian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Algonquian,0,0,0,0,0,0,0
1,Alabama,Parental primary language,Keres,0,0,0,0,0,0,0
1,Alabama,Parental primary language,All other,0.022260606,0.196536899,0.00240618,0.01721406,0.025720596,0.026982725,0.009288073
2,Alaska,Parental primary language,English,0.742846489,0.17353119,0.820001423,0.656054556,0.79046458,0.780286133,0.642811358
2,Alaska,Parental primary language,Spanish,0.057010449,0.211992726,0.039855074,0.071821108,0.050346572,0.061399158,0.04463255
2,Alaska,Parental primary language,Not reported,0.036887284,0.063294969,0.019523006,0.04576464,0.027819408,0.023980815,0.056047197
2,Alaska,Parental primary language,Hindi or related,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Chinese,0,0,0,0,0,0,0
2,Alaska,Parental primary language,French,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Arabic,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Filipino or Tagalog,0.025255039,0.207450032,0,0,0.02702323,0.028404862,0
2,Alaska,Parental primary language,Dravidian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,German,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Sub-Saharan African,0,0.07692308,0,0,0,0,0
2,Alaska,Parental primary language,Vietnamese,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Russian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Portuguese,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Korean,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Polish,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Yiddish or Jewish,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Japanese,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Hamitic,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Italian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Tibetan,0,0,0,0.026624976,0,0,0.031807106
2,Alaska,Parental primary language,Amharic / Ethiopian or related,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Hebrew or Israeli,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Persian / Iranian / Farsi,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Micronesian or Polynesian,0,0,0.009392149,0,0,0,0
2,Alaska,Parental primary language,Dutch,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Thai / Siamese / Lao,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Other east or southeast asian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Serbo-Croatian / Yugoslavian / Slavonian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Greek,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Rumanian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Indonesian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Navajo,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Turkish,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Armenian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Albanian,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Burmese / Lisu / Lolo,0,0,0,0,0,0,0
2,Alaska,Parental primary language,Ukrainian / Ruthenian / or Little Russian,0,0,0,0,0,0,0
