areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
1,Alabama,Parental English proficiency,All are English proficient,0.945971847,0.42463699,0.995403349,0.920710087,0.973749995,0.969440699,0.898839414
1,Alabama,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.018666087,0.181471124,0.003347762,0.022442251,0.013999187,0.017407084,0.021194536
1,Alabama,Parental English proficiency,All are limited English proficient,0.035362061,0.393891871,0.001248872,0.056847662,0.012250828,0.013152215,0.079966031
1,Alabama,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
2,Alaska,Parental English proficiency,All are English proficient,0.921802223,0.57147181,0.963240445,0.882408977,0.943049848,0.931820035,0.890727222
2,Alaska,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.024919489,0.106904909,0.015161109,0.030303031,0.02004496,0.022740429,0.031678852
2,Alaska,Parental English proficiency,All are limited English proficient,0.053278305,0.321623266,0.021598425,0.087287977,0.036905207,0.045439512,0.077593945
2,Alaska,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
4,Arizona,Parental English proficiency,All are English proficient,0.840795994,0.480561882,0.975515783,0.757582903,0.926870644,0.909021795,0.693194687
4,Arizona,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.070429973,0.229007289,0.012677831,0.092751428,0.047369838,0.056932516,0.099630721
4,Arizona,Parental English proficiency,All are limited English proficient,0.088774011,0.290430814,0.011806369,0.149665654,0.02575954,0.034045715,0.207174614
4,Arizona,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
5,Arkansas,Parental English proficiency,All are English proficient,0.922405839,0.369810432,0.994779408,0.88857764,0.966925263,0.967784166,0.836619854
5,Arkansas,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.025918784,0.210480958,0.001857829,0.031475503,0.018698091,0.015873672,0.044908699
5,Arkansas,Parental English proficiency,All are limited English proficient,0.051675349,0.41970861,0.003362775,0.079946831,0.01437666,0.016342165,0.118471436
5,Arkansas,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
6,California,Parental English proficiency,All are English proficient,0.731766403,0.435825318,0.969743431,0.587611198,0.848028302,0.841564715,0.500185192
6,California,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.094237529,0.193799436,0.014984532,0.112163246,0.080602601,0.087500282,0.10844741
6,California,Parental English proficiency,All are limited English proficient,0.173996046,0.370375246,0.015272045,0.300225556,0.071369104,0.070935033,0.391367376
6,California,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
8,Colorado,Parental English proficiency,All are English proficient,0.876546264,0.476489395,0.989984035,0.761630237,0.943090558,0.934645534,0.684942424
8,Colorado,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.048364569,0.200823158,0.005452633,0.080454089,0.029888049,0.037336059,0.084735148
8,Colorado,Parental English proficiency,All are limited English proficient,0.075089179,0.322687447,0.004563335,0.157915682,0.027021416,0.028018413,0.230322406
8,Colorado,Parental English proficiency,At least one parent is limited English proficient,0,0,0,0,0,0,0
9,Connecticut,Parental English proficiency,All are English proficient,0.860579371,0.563834369,0.967542112,0.762473762,0.906905711,0.903695107,0.711690903
9,Connecticut,Parental English proficiency,One parent is English proficient and one is limited English proficient,0.058169179,0.191718787,0.011094327,0.075922035,0.050123509,0.052958123,0.076164134
