areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
1,Alabama,Parental education,At least one parent has a bachelor's degree or more,0.310431004,0.34439975,0.307935238,0.092148043,0.549132586,0.465005249,0
1,Alabama,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.357155025,0.173495114,0.374785841,0.393050931,0.317856669,0.534994751,0
1,Alabama,Parental education,All parents have a high school education or less,0.332413942,0.482105106,0.317278892,0.514801025,0.133010745,0,1
1,Alabama,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
2,Alaska,Parental education,At least one parent has a bachelor's degree or more,0.373573452,0.411871582,0.367911905,0.102248907,0.508804798,0.494004786,0
2,Alaska,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.382640809,0.467292577,0.373716086,0.401943982,0.37425065,0.505995214,0
2,Alaska,Parental education,All parents have a high school education or less,0.243785754,0.120835856,0.258372039,0.495807141,0.116944551,0,1
2,Alaska,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
4,Arizona,Parental education,At least one parent has a bachelor's degree or more,0.322688222,0.270209819,0.345593005,0.131951824,0.52330178,0.471844345,0
4,Arizona,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.361198783,0.265736133,0.395471722,0.377070472,0.347672284,0.528155655,0
4,Arizona,Parental education,All parents have a high school education or less,0.316112965,0.464054048,0.258935273,0.490977675,0.129025951,0,1
4,Arizona,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
5,Arkansas,Parental education,At least one parent has a bachelor's degree or more,0.284935385,0.188077703,0.299307734,0.104665145,0.526603162,0.435657889,0
5,Arkansas,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.369099349,0.20437099,0.391265064,0.408232048,0.317741036,0.564342111,0
5,Arkansas,Parental education,All parents have a high school education or less,0.345965296,0.607551336,0.309427172,0.487102807,0.155655801,0,1
5,Arkansas,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
6,California,Parental education,At least one parent has a bachelor's degree or more,0.366181761,0.347564071,0.384717673,0.107543156,0.572936296,0.539797425,0
6,California,Parental education,At least one parent has education beyond high school but none have bachelor's degrees,0.312187105,0.228999227,0.377477139,0.345245019,0.287479699,0.460202575,0
6,California,Parental education,All parents have a high school education or less,0.321631134,0.423436731,0.237805218,0.547211826,0.139583975,0,1
6,California,Parental education,At least one parent has education beyond high school,0,0,0,0,0,0,0
